comparison,dimension,preferred_case,prompt_majorities,total_prompts,preference_rate,bootstrap_ci_low,bootstrap_ci_high,method_a,method_b,method_a_wins,method_b_wins,prompt_ties,two_sided_sign_test_p
lora_s0p75_with_stage2,detail,step40_lora_s0p75_stage2,8,10,0.8,0.5,1.0,step40_base_stage2,step40_lora_s0p75_stage2,2,8,0,0.109375
lora_s0p75_with_stage2,detail,tie,0,10,0.0,0.0,0.0,step40_base_stage2,step40_lora_s0p75_stage2,2,8,0,0.109375
lora_s0p75_with_stage2,overall,step40_base_stage2,2,10,0.2,0.0,0.5,step40_base_stage2,step40_lora_s0p75_stage2,2,6,2,0.2890625
lora_s0p75_with_stage2,overall,step40_lora_s0p75_stage2,6,10,0.6,0.3,0.9,step40_base_stage2,step40_lora_s0p75_stage2,2,6,2,0.2890625
lora_s0p75_with_stage2,overall,tie,2,10,0.2,0.0,0.5,step40_base_stage2,step40_lora_s0p75_stage2,2,6,2,0.2890625
lora_s0p75_with_stage2,structure_identity,step40_base_stage2,1,10,0.1,0.0,0.3,step40_base_stage2,step40_lora_s0p75_stage2,1,0,9,1.0
lora_s0p75_with_stage2,structure_identity,step40_lora_s0p75_stage2,0,10,0.0,0.0,0.0,step40_base_stage2,step40_lora_s0p75_stage2,1,0,9,1.0
lora_s0p75_with_stage2,structure_identity,tie,9,10,0.9,0.7,1.0,step40_base_stage2,step40_lora_s0p75_stage2,1,0,9,1.0
lora_s0p75_with_stage2,temporal_stability,step40_base_stage2,9,10,0.9,0.7,1.0,step40_base_stage2,step40_lora_s0p75_stage2,9,1,0,0.021484375
lora_s0p75_with_stage2,temporal_stability,step40_lora_s0p75_stage2,1,10,0.1,0.0,0.3,step40_base_stage2,step40_lora_s0p75_stage2,9,1,0,0.021484375
lora_s0p75_with_stage2,temporal_stability,tie,0,10,0.0,0.0,0.0,step40_base_stage2,step40_lora_s0p75_stage2,9,1,0,0.021484375
lora_s1_with_stage2,artifact_cleanliness,step40_base_stage2,6,10,0.6,0.3,0.9,step40_base_stage2,step40_lora_s1_stage2,6,2,2,0.2890625
lora_s1_with_stage2,artifact_cleanliness,step40_lora_s1_stage2,2,10,0.2,0.0,0.5,step40_base_stage2,step40_lora_s1_stage2,6,2,2,0.2890625
lora_s1_with_stage2,artifact_cleanliness,tie,2,10,0.2,0.0,0.5,step40_base_stage2,step40_lora_s1_stage2,6,2,2,0.2890625
lora_s1_with_stage2,detail,step40_base_stage2,5,10,0.5,0.2,0.8,step40_base_stage2,step40_lora_s1_stage2,5,2,3,0.453125
lora_s1_with_stage2,detail,step40_lora_s1_stage2,2,10,0.2,0.0,0.5,step40_base_stage2,step40_lora_s1_stage2,5,2,3,0.453125
lora_s1_with_stage2,detail,tie,3,10,0.3,0.0,0.6,step40_base_stage2,step40_lora_s1_stage2,5,2,3,0.453125
lora_s1_with_stage2,overall,step40_base_stage2,7,10,0.7,0.4,1.0,step40_base_stage2,step40_lora_s1_stage2,7,2,1,0.1796875
lora_s1_with_stage2,overall,step40_lora_s1_stage2,2,10,0.2,0.0,0.5,step40_base_stage2,step40_lora_s1_stage2,7,2,1,0.1796875
lora_s1_with_stage2,overall,tie,1,10,0.1,0.0,0.3,step40_base_stage2,step40_lora_s1_stage2,7,2,1,0.1796875
lora_s1_with_stage2,structure_identity,step40_base_stage2,1,10,0.1,0.0,0.3,step40_base_stage2,step40_lora_s1_stage2,1,0,9,1.0
lora_s1_with_stage2,structure_identity,step40_lora_s1_stage2,0,10,0.0,0.0,0.0,step40_base_stage2,step40_lora_s1_stage2,1,0,9,1.0
lora_s1_with_stage2,structure_identity,tie,9,10,0.9,0.7,1.0,step40_base_stage2,step40_lora_s1_stage2,1,0,9,1.0
lora_s1_with_stage2,temporal_stability,step40_base_stage2,9,10,0.9,0.7,1.0,step40_base_stage2,step40_lora_s1_stage2,9,0,1,0.00390625
lora_s1_with_stage2,temporal_stability,step40_lora_s1_stage2,0,10,0.0,0.0,0.0,step40_base_stage2,step40_lora_s1_stage2,9,0,1,0.00390625
lora_s1_with_stage2,temporal_stability,tie,1,10,0.1,0.0,0.3,step40_base_stage2,step40_lora_s1_stage2,9,0,1,0.00390625
